smiles	Hansch pi	Hammett sigma p
[R]C	0.76	-0.134
[R]O	-0.045	-0.223
[R]F	0.379	0.064
[R]c1ccccc1	1.977	-0.028
[R]OC	-0.013	-0.251
[R]Cl	0.758	0.168
[R]N	-0.738	-0.607
[R]CC	1.157	-0.133
[R]C(O)=O	-0.009	0.535
[R]C(F)(F)F	1.176	0.459
[R]C(C)C	1.487	-0.134
[R]Cc1ccccc1	2.374	-0.112
[R]C#N	0.329	0.402
[R]C(N)=O	-0.873	0.394
[R]c1ccc(Cl)cc1	2.495	0.051
[R]c1ccc(F)cc1	2.117	0.029
[R]C(C)=O	0.539	0.464
[R]Br	1.032	0.241
[R]OCC	0.33	-0.269
[R]C(C)(C)C	1.92	-0.15
[R]CO	-0.242	-0.06
[R]c1ccc(OC)cc1	1.725	-0.076
[R]C1CC1	0.983	-0.107
[R]N(C)C	0.032	-0.653
[R]CC(C)C	1.883	-0.136
[R]N1CCOCC1	-0.311	-0.615
[R]N(=O)=O	0.165	0.864
[R]CC(O)=O	-0.076	-0.009
[R]CCC	1.553	-0.131
[R]c1ccc(C)cc1	2.445	-0.047
[R]C(=O)OC	0.023	0.504
[R]C1CCCCC1	2.172	-0.131
[R]C(=O)OCC	0.366	0.494
[R]NC(C)=O	-0.911	-0.291
[R]c1cccnc1	0.666	0.07
[R]c1ccc(O)cc1	1.693	-0.006
[R]NC	-0.33	-0.623
[R]c1ccccn1	1.065	0.146
[R]CCCC	1.949	-0.131
[R]c1ccco1	0.461	0.1
[R]C(N)=N	-0.702	0.25
[R]c1cccs1	1.449	0.021
[R]c1ccncc1	0.666	0.117
[R]c1ccccc1Cl	2.495	0.01
[R]c1c[nH]c2ccccc12	1.286	-0.22
[R]c1cccc(Cl)c1	2.495	0.051
[R]c1ccccc1OC	1.725	-0.147
[R]N1CCCC1	0.357	-0.667
[R]S	0.196	0.03
[R]N1CCCCC1	0.754	-0.679
[R]CCC(O)=O	0.32	-0.011
[R]NO	-0.09	-0.582
[R]C(=O)NO	-0.387	0.469
[R]C(=O)c1ccccc1	1.514	0.456
[R]c1cccc(OC)c1	1.725	-0.008
[R]CCc1ccccc1	2.77	-0.101
[R]OCc1ccccc1	1.764	-0.253
[R]N1CCN(C)CC1	-0.167	-0.669
[R]S(N)(=O)=O	-0.907	0.666
[R]c1ccccc1F	2.117	-0.001
[R]Cc1ccc(O)cc1	2.089	-0.088
[R]Oc1ccccc1	1.669	-0.091
[R]C1CCCC1	1.776	-0.131
[R]Cc1c[nH]c2ccccc12	1.682	-0.188
[R]S(C)(=O)=O	-0.615	0.6
[R]NC(N)=N	-1.011	-0.226
[R]SC	0.33	-0.031
[R]c1cccc(F)c1	2.117	0.06
[R]c1ccc(Cl)c(Cl)c1	3.013	0.117
[R]Nc1ccccc1	1.491	-0.389
[R]c2ccc1OCOc1c2	1.662	0.021
[R]CC(N)=O	-0.941	-0.112
[R]C(C)CC	1.883	-0.133
[R]c1ccccc1C	2.445	-0.039
[R]c1cccc(C(F)(F)F)c1	2.86	0.089
[R]c1cccc(C)c1	2.445	-0.036
[R]c1ccc(C(F)(F)F)cc1	2.86	0.143
[R]CCCNC(N)=N	-0.215	-0.077
[R]OC(C)(C)C	0.821	-0.304
[R]c1ccc(Br)cc1	2.769	0.07
[R]c2ccc1ccccc1c2	2.98	-0.017
[R]CCO	0.009	-0.05
[R]CC1CC1	1.379	-0.122
[R]CCCCN	0.455	-0.122
[R]c1ccc(OC)c(OC)c1	1.472	-0.05
[R]C(=O)OC(C)(C)C	0.857	0.485
[R]C(=O)NC	-0.627	0.369
[R]C(C)O	0.171	-0.046
[R]CCOC	0.288	-0.054
[R]Cc1ccc(Cl)cc1	2.892	-0.06
[R]OC(F)(F)F	1.732	0.098
[R]Cc1ccc(F)cc1	2.513	-0.066
[R]c1ccc(Cl)cc1Cl	3.013	0.086
[R]N(CC)CC	0.717	-0.671
[R]C(F)F	0.457	0.249
[R]OC(C)C	0.743	-0.285
[R]NCc1ccccc1	1.447	-0.625
[R]c1cccc2ccccc12	2.98	0
[R]CC=C	1.338	-0.11
[R]c1ccc(C#N)cc1	2.013	0.133
[R]CCC(N)=O	-0.545	-0.065
[R]NCC	0.013	-0.639
[R]c1ccc(N(=O)=O)cc1	1.931	0.28
[R]CN	-0.59	-0.077
[R]C1CCOCC1	0.529	-0.088
[R]NS(C)(=O)=O	-0.661	-0.123
[R]C(=O)N(C)C	-0.38	0.36
[R]c1ccc(C(O)=O)cc1	1.676	0.128
[R]CC1CCCCC1	2.568	-0.136
[R]c1ccc(S(N)(=O)=O)cc1	0.83	0.19
[R]COC	0.036	-0.061
[R]c1c[nH]cn1	-0.382	-0.042
[R]CCN(C)C	0.432	-0.11
[R]Cc1ccco1	0.393	-0.035
[R]C(=O)Nc1ccccc1	1.055	0.447
[R]Cc1ccc(OC)cc1	2.121	-0.12
[R]c1ccc(OCC)cc1	2.067	-0.082
[R]N=C(N)N	-1.011	-0.454
[R]c1ccc(F)cc1F	2.256	0.056
[R]NC(C)C	0.426	-0.645
[R]C(=O)OCc1ccccc1	1.8	0.499
[R]NC1CCCCC1	1.255	-0.648
[R]c1nccs1	0.603	0.263
[R]I	1.497	0.257
[R]c2ccc(c1ccccc1)cc2	3.662	-0.016
[R]C=O	-0.42	0.394
[R]C1CCC1	1.379	-0.126
[R]CCCCC	2.345	-0.131
[R]C(=O)c1ccco1	-0.002	0.415
[R]Cc1cccnc1	1.062	-0.058
[R]N1CCNCC1	-0.528	-0.669
[R]NC(=O)OC(C)(C)C	0.548	-0.248
[R]c1ccc(C(C)(C)C)cc1	3.605	-0.055
[R]c1cnn(C)c1	0.086	-0.18
[R]C(C)c1ccccc1	2.704	-0.104
[R]C1CCCO1	0.432	-0.041
[R]C(=O)N1CCOCC1	-0.723	0.402
[R]CC(F)(F)F	1.418	0.135
[R]CCN1CCOCC1	0.089	-0.08
[R]CCCN=C(N)N	-0.215	-0.158
[R]NC(=O)c1ccccc1	1.002	-0.292
[R]C(C)(C)O	0.249	-0.036
[R]c1cc(OC)c(OC)c(OC)c1	1.219	0.032
[R]c1cccc(O)c1	1.693	0.011
[R]c1ccc(OC(F)(F)F)cc1	3.47	0.04
[R]C(=O)NCc1ccccc1	1.15	0.364
[R]c2nc1ccccc1s2	2.403	0.304
[R]OC(C)=O	-0.261	-0.072
[R]c1ccc(S(C)(=O)=O)cc1	1.122	0.171
[R]CN(C)C	0.18	-0.101
[R]c1c(F)cccc1F	2.256	0.095
[R]NC(C)(C)C	0.504	-0.661
[R]n1ccnc1	-0.591	0.133
[R]NC1CC1	0.067	-0.596
[R]C(=O)C1CC1	1.225	0.45
[R]C23CC1CC(CC(C1)C2)C3	2.589	-0.15
[R]C(=O)NCC	-0.284	0.361
[R]c1ccc(F)c(F)c1	2.256	0.117
[R]C(=O)CC	1.167	0.456
[R]c2nc1ccccc1[nH]2	1.36	0.304
[R]CC#N	0.261	0.108
[R]CC1CCCO1	0.684	-0.153
[R]C=C	0.941	-0.05
[R]c1cccc(N(=O)=O)c1	1.931	0.19
[R]c2ccc1OCCOc1c2	1.294	-0.035
[R]c1cccc(Br)c1	2.769	0.049
[R]c1ccccc1C(F)(F)F	2.86	0.1
[R]Cc1c[nH]cn1	-0.45	-0.191
[R]C(=O)NC1CCCCC1	0.958	0.358
[R]C1CCNCC1	0.312	-0.128
[R]Cc1cccs1	1.381	-0.069
[R]CCSC	0.73	-0.039
[R]c1cnc[nH]1	-0.553	-0.03
[R]Nc1ccc(OC)cc1	1.239	-0.417
[R]c1cccc(C#N)c1	2.013	0.092
[R]CCN	-0.338	-0.08
[R]C(=O)N1CCCC1	-0.055	0.345
[R]c2ccc1ccccc1n2	2.466	0.171
[R]CCCc1ccccc1	3.166	-0.117
[R]Cc1ccccn1	0.997	-0.126
[R]C(=O)c1cccs1	0.986	0.423
[R]c1ccc(N(C)C)cc1	2.242	-0.188
[R]CCCCCC	2.742	-0.129
[R]c1ccccc1O	1.693	-0.041
[R]NC(=O)OCc1ccccc1	1.491	-0.242
[R]Cc1cnc[nH]1	-0.62	-0.023
[R]OC(F)F	0.841	-0.071
[R]Cc2ccc1ccccc1c2	3.376	-0.104
[R]OCC(O)=O	-0.471	-0.103
[R]Cc1ccc(C)cc1	2.841	-0.12
[R]Nc1ccc(F)cc1	1.631	-0.327
[R]Nc1ccc(Cl)cc1	2.009	-0.313
[R]Cc2ccc1OCOc1c2	2.058	-0.074
[R]Cc1ccccc1Cl	2.892	-0.114
[R]C(=O)NC(C)(C)C	0.207	0.356
[R]c1c(Cl)cccc1Cl	3.013	0.087
[R]c1ncccn1	0.219	0.208
[R]c1ccsc1	1.05	-0.038
[R]P(O)(O)=O	-0.212	0.526
[R]c1cc(C)cc(C)c1	2.912	-0.047
[R]OCCC	0.798	-0.272
[R]C(=O)c1ccc(F)cc1	1.654	0.505
[R]CN1CCOCC1	-0.163	-0.063
[R]c1ccc(CC)cc1	2.841	-0.047
[R]C1CCN(C)CC1	0.673	-0.126
[R]c1ccc(C)c(C)c1	2.912	-0.055
[R]C(=O)c1ccc(Cl)cc1	2.032	0.511
[R]NC(C)c1ccccc1	1.86	-0.626
[R]NCCc1ccccc1	1.699	-0.629
[R]C(=O)c1ccc(OC)cc1	1.262	0.435
[R]CC(C)(C)C	2.317	-0.142
[R]COc1ccccc1	1.817	0.032
[R]c1ccc(F)c(Cl)c1	2.635	0.1
[R]Cc1ccccc1F	2.513	-0.106
[R]NC1CCCC1	0.859	-0.645
[R]c1cc(OC)cc(OC)c1	1.472	0.034
[R]Cc1ccncc1	1.062	-0.036
[R]NCc1ccco1	-0.318	-0.571
[R]N2CCN(c1ccccc1)CC2	1.987	-0.626
[R]C(=O)C(C)(C)C	2.394	0.439
[R]CCC(C)C	2.28	-0.136
[R]c1cccc(Cl)c1Cl	3.013	0.079
[R]c1cc(F)cc(F)c1	2.256	0.168
[R]C(C)NC(C)=O	-0.35	0.081
[R]C(=O)Cc1ccccc1	2.384	0.475
[R]Nc1ccc(C)cc1	1.959	-0.4
[R]NC(=O)OC	-0.286	-0.234
[R]CCN1CCCC1	0.757	-0.087
[R]C(N)Cc1ccc(O)cc1	1.225	-0.046
[R]c1ccccc1C(O)=O	1.676	-0.066
[R]C(=O)C(N)Cc1ccc(O)cc1	1.574	0.504
[R]c1nn[nH]n1	0.039	0.272
[R]Cc1cccc(F)c1	2.513	-0.063
[R]c1ccc(N)cc1	1.194	-0.171
[R]c1ccc(C(C)C)cc1	3.171	-0.049
[R]Cc1cccc(Cl)c1	2.892	-0.066
[R]c1ccc(OC)cc1OC	1.472	-0.209
[R]c1cccc(C(O)=O)c1	1.676	0.041
[R]Cc1ccccc1OC	2.121	-0.191
[R]c1c(C)cccc1C	2.912	-0.049
[R]c1cnccn1	-0.247	0.241
[R]Cc1cccc(OC)c1	2.121	-0.114
